                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8289,                 3.2091,                 3.3505,                0.01512,                0.42953,                0.06427,                0.02026,                 3.1692,                 2.5597,                 2.6063,               0.070058,              0.0033269,              0.0033269
                      0,                 2.3525,                    1.8,               0.070058,              0.0033269,              0.0033269
                      0,                 1.2513,                 1.5738,               0.070058,              0.0033269,              0.0033269
                      1,                 2.8323,                 2.0773,                   2.16,                0.02197,                0.61795,                0.28233,                0.11622,                 2.3666,                 1.7255,                 1.8255,               0.040036,              0.0066382,              0.0066382
                      1,                 1.7829,                 1.3701,               0.040036,              0.0066382,              0.0066382
                      1,                  1.137,                 1.2099,               0.040036,              0.0066382,              0.0066382
                      2,                 2.2699,                 1.6601,                 1.7301,                0.02463,                0.68745,                0.33037,                0.15803,                 2.0166,                  1.488,                 1.5603,              0.0099922,              0.0099276,              0.0099276
                      2,                 1.6456,                 1.2596,              0.0099922,              0.0099276,              0.0099276
                      2,                 1.1119,                 1.1382,              0.0099922,              0.0099276,              0.0099276
                      3,                 1.9904,                 1.4265,                 1.5281,                0.02652,                0.70754,                0.43969,                0.22446,                  1.781,                 1.2432,                 1.4233,               0.009901,               0.009901,               0.009901
                      3,                 1.5938,                 1.2331,               0.009901,               0.009901,               0.009901
                      3,                 1.1044,                 1.1093,               0.009901,               0.009901,               0.009901
                      4,                 1.8267,                 1.2642,                 1.4335,                0.03064,                0.68662,                 0.4808,                0.26002,                 1.6343,                  1.079,                 1.3429,               0.009901,               0.009901,               0.009901
                      4,                 1.5536,                 1.1933,               0.009901,               0.009901,               0.009901
                      4,                 1.0907,                 1.0918,               0.009901,               0.009901,               0.009901
                      5,                 1.7158,                 1.1477,                 1.3713,                0.04365,                0.71236,                0.52269,                0.28521,                  1.576,                 1.0034,                 1.3034,               0.009868,               0.009868,               0.009868
                      5,                 1.5282,                 1.1829,               0.009868,               0.009868,               0.009868
                      5,                 1.0832,                  1.084,               0.009868,               0.009868,               0.009868
                      6,                 1.6377,                 1.0753,                 1.3245,                0.03869,                0.69653,                0.53596,                0.29973,                 1.5252,                0.94024,                 1.2762,               0.009835,               0.009835,               0.009835
                      6,                 1.5125,                 1.1729,               0.009835,               0.009835,               0.009835
                      6,                 1.0788,                 1.0792,               0.009835,               0.009835,               0.009835
                      7,                 1.5867,                 1.0273,                 1.2993,                0.04606,                0.72502,                0.55785,                0.31477,                 1.4715,                 0.9113,                 1.2381,               0.009802,               0.009802,               0.009802
                      7,                  1.507,                   1.18,               0.009802,               0.009802,               0.009802
                      7,                 1.0726,                 1.0734,               0.009802,               0.009802,               0.009802
                      8,                 1.5628,                0.99554,                   1.28,                 0.0439,                0.73988,                0.56978,                0.32084,                 1.4571,                0.88866,                 1.2256,               0.009769,               0.009769,               0.009769
                      8,                 1.4925,                 1.1628,               0.009769,               0.009769,               0.009769
                      8,                 1.0703,                   1.07,               0.009769,               0.009769,               0.009769
                      9,                 1.5225,                0.95713,                 1.2547,                0.04115,                0.73631,                0.57629,                0.32576,                 1.4421,                0.85895,                 1.2128,               0.009736,               0.009736,               0.009736
                      9,                 1.4851,                 1.1561,               0.009736,               0.009736,               0.009736
                      9,                  1.069,                  1.068,               0.009736,               0.009736,               0.009736
                     10,                 1.4935,                0.93213,                 1.2351,                0.03533,                0.75145,                0.59335,                0.33696,                 1.3997,                0.84957,                 1.1927,               0.009703,               0.009703,               0.009703
                     10,                  1.475,                 1.1494,               0.009703,               0.009703,               0.009703
                     10,                 1.0658,                 1.0634,               0.009703,               0.009703,               0.009703
                     11,                 1.4733,                0.91731,                 1.2253,                0.05115,                0.75406,                0.60012,                 0.3439,                 1.3857,                0.81687,                 1.1798,                0.00967,                0.00967,                0.00967
                     11,                 1.4753,                 1.1488,                0.00967,                0.00967,                0.00967
                     11,                 1.0641,                 1.0618,                0.00967,                0.00967,                0.00967
                     12,                 1.4552,                0.89266,                 1.2079,                0.05294,                0.75599,                0.60637,                0.34977,                 1.3736,                0.79318,                 1.1722,               0.009637,               0.009637,               0.009637
                     12,                 1.4699,                 1.1399,               0.009637,               0.009637,               0.009637
                     12,                 1.0629,                 1.0586,               0.009637,               0.009637,               0.009637
                     13,                 1.4436,                 0.8801,                 1.1991,                0.04375,                0.75654,                0.60958,                0.35108,                 1.3649,                  0.799,                 1.1672,               0.009604,               0.009604,               0.009604
                     13,                 1.4678,                 1.1368,               0.009604,               0.009604,               0.009604
                     13,                 1.0623,                 1.0588,               0.009604,               0.009604,               0.009604
                     14,                 1.4264,                0.87195,                 1.1997,                0.04171,                0.75709,                0.61542,                0.35574,                 1.3441,                0.78412,                 1.1599,               0.009571,               0.009571,               0.009571
                     14,                 1.4625,                  1.135,               0.009571,               0.009571,               0.009571
                     14,                 1.0594,                 1.0575,               0.009571,               0.009571,               0.009571
                     15,                 1.4198,                0.85758,                 1.1878,                 0.0487,                0.75365,                0.61977,                0.35991,                 1.3337,                0.76945,                 1.1447,               0.009538,               0.009538,               0.009538
                     15,                 1.4572,                  1.136,               0.009538,               0.009538,               0.009538
                     15,                 1.0592,                 1.0557,               0.009538,               0.009538,               0.009538
                     16,                 1.3996,                0.84113,                 1.1761,                0.04958,                0.77704,                0.62462,                0.36137,                 1.3294,                0.76323,                 1.1462,               0.009505,               0.009505,               0.009505
                     16,                 1.4558,                 1.1327,               0.009505,               0.009505,               0.009505
                     16,                 1.0579,                 1.0554,               0.009505,               0.009505,               0.009505
                     17,                 1.3982,                0.84087,                  1.179,                0.05138,                0.75571,                 0.6215,                0.36425,                  1.328,                0.76648,                 1.1442,               0.009472,               0.009472,               0.009472
                     17,                 1.4595,                 1.1315,               0.009472,               0.009472,               0.009472
                     17,                 1.0566,                  1.056,               0.009472,               0.009472,               0.009472
                     18,                 1.3932,                0.82972,                 1.1707,                0.05195,                0.77512,                0.62989,                0.36688,                 1.3081,                0.75141,                 1.1343,               0.009439,               0.009439,               0.009439
                     18,                 1.4517,                 1.1338,               0.009439,               0.009439,               0.009439
                     18,                 1.0587,                 1.0533,               0.009439,               0.009439,               0.009439
                     19,                 1.3711,                 0.8185,                 1.1621,                0.05511,                0.77746,                0.63677,                 0.3724,                  1.306,                0.73599,                 1.1309,               0.009406,               0.009406,               0.009406
                     19,                 1.4474,                 1.1229,               0.009406,               0.009406,               0.009406
                     19,                 1.0558,                 1.0528,               0.009406,               0.009406,               0.009406
                     20,                 1.3769,                0.81694,                 1.1585,                0.05033,                0.77264,                0.64004,                0.37425,                 1.2987,                 0.7301,                 1.1251,               0.009373,               0.009373,               0.009373
                     20,                 1.4481,                 1.1295,               0.009373,               0.009373,               0.009373
                     20,                 1.0552,                 1.0517,               0.009373,               0.009373,               0.009373
                     21,                 1.3619,                0.80827,                 1.1564,                0.05006,                0.77718,                0.64217,                0.37539,                  1.287,                0.73379,                 1.1174,                0.00934,                0.00934,                0.00934
                     21,                 1.4501,                 1.1316,                0.00934,                0.00934,                0.00934
                     21,                 1.0551,                 1.0538,                0.00934,                0.00934,                0.00934
                     22,                 1.3545,                0.80491,                 1.1555,                0.04888,                0.77883,                0.64214,                0.37491,                  1.288,                0.72645,                 1.1199,               0.009307,               0.009307,               0.009307
                     22,                 1.4376,                 1.1262,               0.009307,               0.009307,               0.009307
                     22,                 1.0509,                 1.0462,               0.009307,               0.009307,               0.009307
                     23,                 1.3464,                 0.7919,                 1.1459,                0.05859,                0.77498,                0.64818,                0.38121,                 1.2786,                0.72354,                 1.1117,               0.009274,               0.009274,               0.009274
                     23,                 1.4412,                 1.1225,               0.009274,               0.009274,               0.009274
                     23,                 1.0528,                 1.0493,               0.009274,               0.009274,               0.009274
                     24,                  1.349,                0.79364,                 1.1474,                0.05456,                0.78145,                0.64991,                0.38299,                 1.2702,                0.70929,                 1.1079,               0.009241,               0.009241,               0.009241
                     24,                 1.4436,                  1.122,               0.009241,               0.009241,               0.009241
                     24,                 1.0529,                 1.0497,               0.009241,               0.009241,               0.009241
