                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.55732,                  3.608,                0.40122,                      0,                      0,                      0,                      0,                0.13848,                0.24461,                0.14998,               0.070244,              0.0033062,              0.0033062
                      0,                 3.2598,                 2.0533,               0.070244,              0.0033062,              0.0033062
                      1,                 1.4998,                 1.3679,                 0.8614,                0.00327,                 0.0102,                 0.0017,                0.00025,                 2.4944,                 217.95,                 1.3309,               0.040222,              0.0066177,              0.0066177
                      1,                 2.8022,                 1.8479,               0.040222,              0.0066177,              0.0066177
                      2,                 3.3359,                 3.0269,                 1.2697,                0.01109,                0.15306,                0.01965,                0.00589,                 4.1569,                 5.4328,                 1.3702,               0.010178,              0.0099071,              0.0099071
                      2,                 2.7625,                 1.8595,               0.010178,              0.0099071,              0.0099071
                      3,                 3.3794,                 2.6116,                 1.1527,                0.00941,                0.28061,                0.07159,                0.02697,                 3.4268,                  2.945,                 1.2101,               0.009901,               0.009901,               0.009901
                      3,                 2.6569,                  1.713,               0.009901,               0.009901,               0.009901
                      4,                 3.3077,                 2.4234,                 1.1246,                0.00942,                 0.4551,                0.19403,                0.07304,                 3.0516,                 2.7775,                 1.0395,               0.009901,               0.009901,               0.009901
                      4,                 2.5275,                 1.6683,               0.009901,               0.009901,               0.009901
                      5,                 2.9248,                 2.0871,                 1.0362,                0.01581,                0.49592,                0.25016,                0.10469,                 2.7907,                 2.1259,                 1.0315,               0.009868,               0.009868,               0.009868
                      5,                  2.414,                 1.6075,               0.009868,               0.009868,               0.009868
                      6,                 2.6976,                 1.9294,                0.99318,                0.05252,                0.39694,                0.26309,                0.11243,                 2.8653,                  2.127,                 1.0515,               0.009835,               0.009835,               0.009835
                      6,                 2.3198,                 1.5794,               0.009835,               0.009835,               0.009835
                      7,                 2.6087,                 1.8257,                0.97081,                0.03295,                0.53776,                0.33532,                0.14913,                 2.5438,                 1.8181,                0.99922,               0.009802,               0.009802,               0.009802
                      7,                  2.268,                 1.5446,               0.009802,               0.009802,               0.009802
                      8,                 2.4752,                 1.6601,                0.95045,                0.04988,                0.52959,                0.37011,                0.16598,                  2.436,                 1.7499,                0.98996,               0.009769,               0.009769,               0.009769
                      8,                 2.1932,                 1.5747,               0.009769,               0.009769,               0.009769
                      9,                 2.4811,                   1.68,                0.95692,                0.02455,                0.61224,                0.43276,                0.18555,                 2.3102,                 1.4899,                0.95521,               0.009736,               0.009736,               0.009736
                      9,                 2.1262,                  1.451,               0.009736,               0.009736,               0.009736
                     10,                  2.304,                  1.572,                0.96672,                 0.0332,                0.59592,                0.43062,                0.19396,                 2.2914,                 1.5702,                0.94907,               0.009703,               0.009703,               0.009703
                     10,                 2.0952,                 1.4316,               0.009703,               0.009703,               0.009703
                     11,                 2.3134,                 1.5826,                0.93789,                0.02977,                 0.6449,                0.48297,                0.21919,                 2.0941,                 1.4697,                0.94107,                0.00967,                0.00967,                0.00967
                     11,                 2.0727,                   1.47,                0.00967,                0.00967,                0.00967
                     12,                 2.2034,                 1.4647,                0.91532,                0.04577,                0.62857,                0.48985,                0.22696,                 2.1758,                 1.4206,                0.94967,               0.009637,               0.009637,               0.009637
                     12,                  2.031,                  1.456,               0.009637,               0.009637,               0.009637
                     13,                 2.1063,                 1.3519,                0.91287,                0.06841,                0.56735,                0.43805,                0.21476,                 2.1976,                 1.5856,                0.95448,               0.009604,               0.009604,               0.009604
                     13,                 1.9829,                 1.3694,               0.009604,               0.009604,               0.009604
                     14,                  2.104,                 1.3998,                0.90667,                0.03243,                0.67143,                0.51895,                 0.2479,                 2.0237,                 1.3126,                0.91871,               0.009571,               0.009571,               0.009571
                     14,                 1.9558,                 1.3568,               0.009571,               0.009571,               0.009571
                     15,                 2.1248,                 1.3231,                0.89607,                0.04881,                0.64388,                0.49419,                0.23562,                 2.0542,                 1.3524,                0.93295,               0.009538,               0.009538,               0.009538
                     15,                 1.9293,                  1.329,               0.009538,               0.009538,               0.009538
                     16,                 2.0617,                 1.3372,                 0.9144,                0.03798,                0.66939,                0.51584,                0.25775,                 1.9696,                 1.2844,                0.91047,               0.009505,               0.009505,               0.009505
                     16,                 1.9622,                 1.3602,               0.009505,               0.009505,               0.009505
                     17,                 2.1428,                 1.4122,                0.92045,                0.03662,                0.68878,                 0.5322,                 0.2616,                 1.9806,                 1.3363,                0.92068,               0.009472,               0.009472,               0.009472
                     17,                 1.9553,                 1.3634,               0.009472,               0.009472,               0.009472
                     18,                 1.9978,                 1.2723,                0.90203,                0.04427,                0.66939,                0.53354,                0.27141,                 1.9107,                 1.1994,                  0.911,               0.009439,               0.009439,               0.009439
                     18,                  1.915,                 1.3653,               0.009439,               0.009439,               0.009439
                     19,                 1.9441,                 1.2494,                 0.8843,                0.06458,                0.68163,                0.55248,                0.25657,                 2.0589,                 1.2461,                0.91709,               0.009406,               0.009406,               0.009406
                     19,                 1.9394,                 1.3669,               0.009406,               0.009406,               0.009406
                     20,                 1.9593,                 1.2714,                0.88471,                0.03794,                0.68469,                0.55879,                0.27206,                 1.9375,                 1.2086,                0.90729,               0.009373,               0.009373,               0.009373
                     20,                 1.9103,                 1.3464,               0.009373,               0.009373,               0.009373
                     21,                 1.9601,                 1.2165,                0.88001,                0.05628,                0.68469,                0.55973,                0.27936,                 1.9148,                 1.1699,                0.91106,                0.00934,                0.00934,                0.00934
                     21,                  1.894,                 1.3255,                0.00934,                0.00934,                0.00934
                     22,                 1.9753,                 1.2136,                0.89245,                0.05929,                0.70204,                0.57862,                0.31128,                 1.7675,                 1.1391,                0.91304,               0.009307,               0.009307,               0.009307
                     22,                 1.8848,                 1.3016,               0.009307,               0.009307,               0.009307
                     23,                 1.8316,                 1.1806,                0.87762,                0.04126,                0.70408,                0.57417,                0.28877,                 1.8876,                 1.1118,                0.90207,               0.009274,               0.009274,               0.009274
                     23,                 1.8564,                 1.2826,               0.009274,               0.009274,               0.009274
                     24,                 1.8355,                  1.105,                0.88103,                0.05436,                0.70102,                0.57821,                0.29379,                 1.8823,                 1.1161,                0.89821,               0.009241,               0.009241,               0.009241
